sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-1112_iter-1,depth-1112_iter-2,depth-1112_iter-3,depth-1112_iter-4,depth-1112_iter-5,depth-1112_iter-6,depth-1112_iter-7,depth-1112_iter-8,depth-1112_iter-9,depth-1112_iter-10,depth-2223_iter-1,depth-2223_iter-2,depth-2223_iter-3,depth-2223_iter-4,depth-2223_iter-5,depth-2223_iter-6,depth-2223_iter-7,depth-2223_iter-8,depth-2223_iter-9,depth-2223_iter-10,depth-3334_iter-1,depth-3334_iter-2,depth-3334_iter-3,depth-3334_iter-4,depth-3334_iter-5,depth-3334_iter-6,depth-3334_iter-7,depth-3334_iter-8,depth-3334_iter-9,depth-3334_iter-10,depth-4445_iter-1,depth-4445_iter-2,depth-4445_iter-3,depth-4445_iter-4,depth-4445_iter-5,depth-4445_iter-6,depth-4445_iter-7,depth-4445_iter-8,depth-4445_iter-9,depth-4445_iter-10,depth-5556_iter-1,depth-5556_iter-2,depth-5556_iter-3,depth-5556_iter-4,depth-5556_iter-5,depth-5556_iter-6,depth-5556_iter-7,depth-5556_iter-8,depth-5556_iter-9,depth-5556_iter-10,depth-6667_iter-1,depth-6667_iter-2,depth-6667_iter-3,depth-6667_iter-4,depth-6667_iter-5,depth-6667_iter-6,depth-6667_iter-7,depth-6667_iter-8,depth-6667_iter-9,depth-6667_iter-10,depth-7778_iter-1,depth-7778_iter-2,depth-7778_iter-3,depth-7778_iter-4,depth-7778_iter-5,depth-7778_iter-6,depth-7778_iter-7,depth-7778_iter-8,depth-7778_iter-9,depth-7778_iter-10,depth-8889_iter-1,depth-8889_iter-2,depth-8889_iter-3,depth-8889_iter-4,depth-8889_iter-5,depth-8889_iter-6,depth-8889_iter-7,depth-8889_iter-8,depth-8889_iter-9,depth-8889_iter-10,depth-10000_iter-1,depth-10000_iter-2,depth-10000_iter-3,depth-10000_iter-4,depth-10000_iter-5,depth-10000_iter-6,depth-10000_iter-7,depth-10000_iter-8,depth-10000_iter-9,depth-10000_iter-10,LIMS,SAMPLE.NAME,RNA.NAME,DNA.NAME,NOTES,DNASE.TREATED,EXTRACTION.DATE,LabNumber,Date,Common.name_Species,Genus,Species,otherid,Microchip,Age.class,Sex,Locality,Section,Protected.Area,Country,GPS.S,GPS.E,FAECES_SampleNumber,FAECES_Prep.type,FAECES_Count,Diet_type
K058693-R,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.002993041289252,5.976302870311712,6.011397559249929,5.993088714275401,5.971318125630392,5.997762144932878,5.99791476987769,6.046277081340981,6.012403321817529,5.969750342513621,6.009333784842117,6.026742481298904,6.050678480639676,6.023062685000431,6.039169022021342,6.026356091974275,6.013716162547976,6.019391692234411,6.029348744552617,6.020736613494309,6.030137392736099,6.03356386416167,6.035221811428968,6.032253725375788,6.033836094934041,6.033550037118958,6.028861457319254,6.025873016247115,6.035975244848153,6.044608322913557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058693,18/140,R18/140,D18/140,,YES,30/08/2023,18/140,7-May-18,African wild dog,Lycaon,pictus,LP-M-01e,4C4A430679,Old adult,Male,Ranger,Kingfisherspruit,Kruger National Park,South Africa,-24.45724,31.45176,18/140,Faeces,1,Carnivore
K058694-R,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058694,19/397,R19/397,D19/397,,YES,28/08/2023,19/397,12-Sep-19,African buffalo,Syncerus††,caffer†,66,,Sub adult,Female,Doispane,Skukuza,Kruger National Park,South Africa,-25.012644,31.347935,19/397,Faeces,1,Ruminant
K058695-R,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.661978404059637,5.65776799567464,5.669835205883823,5.666833079983489,5.641447346029858,5.642559671266527,5.656836054795966,5.658967176551558,5.675033519201196,5.650942009560708,5.666266073727662,5.68189074309527,5.677786405398217,5.68946968004926,5.682040978397264,5.667957261509917,5.675361045861753,5.675429723858661,5.676814624961142,5.658009109675381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058695,21/174,R21/174,D21/174,,YES,27/08/2023,2021-000174,16-Apr-21,Lion,Panthera,leo,C62,4C4413083D,Adult,Male,Timbarati picnic site,Kingfisherspruit,Kruger National Park,South Africa,-2	426	056,316	455,2021-000174,Faeces,1,Carnivore
K058696-R,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.275579943817449,5.289508718949488,5.283785096739176,5.326263075870127,5.298680849700477,5.299334208829638,5.303484746415142,5.302869757475502,5.306226933022338,5.318294983226259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058696,21/560,R21/560,D21/560,,YES,27/08/2023,2021-000560,22-Jul-21,Lion,Panthera,leo,S115,4700003670,Old adult,Male,Lubyelubye,Lower Sabie,Kruger National Park,South Africa,-2	509	945,3	188	152,2021-000560,Faeces,1,Carnivore
K058697-R,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.596990472758908,5.608698465703294,5.593192019223269,5.595076896923669,5.581331550128304,5.604614678429542,5.629440654568847,5.595643478343411,5.578667685465071,5.591369880827912,5.626675843937626,5.619178218711226,5.627483656134748,5.614314260572818,5.620271716883941,5.626105687517386,5.613627249919793,5.615749928735696,5.632988987139735,5.636057162293706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058697,20/47,R20/47,D20/47,,YES,27/08/2023,20/47,17-Apr-20,Lion,Panthera,leo,LVS202004-001,,Young adult,Female,State Vet Bomas,Skukuza,Kruger National Park,South Africa,-24.9948616,31.586339,20/47,Faeces,1,Carnivore
K058698-R,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.681248196420911,5.675552882725968,5.664147371796644,5.649677794752326,5.654639575270664,5.661037648979835,5.6353409197788125,5.639011705228467,5.6546251413871005,5.6665838873808365,5.671817979228658,5.690781528884447,5.679652668314949,5.680842519188254,5.694652531200029,5.680298922121518,5.679150838400611,5.677911074156013,5.678832331083021,5.674899906533594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058698,20/542,R20/542,D20/542,,YES,27/08/2023,2020-000542,10-Nov-20,Lion,Panthera,leo,N70,4C44417A67,Old adult,Male,Shingwedzi river,Shingwedzi,Kruger National Park,South Africa,-2	410	501,3	138	529,2020-000542,Faeces,1,Carnivore
K058699-R,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.202392994384067,6.189612723921644,6.216435640695918,6.22221704142974,6.15033900932042,6.186981742546046,6.195305360673927,6.209379846587581,6.2086389609128,6.167261895195553,6.227183337513584,6.218350267400567,6.23351503232564,6.235263835967041,6.232824370450031,6.237293646480626,6.227475376263193,6.206856956144848,6.213706448828325,6.209151603018083,6.253881401984464,6.235028154929615,6.236735459826754,6.242743243938138,6.237735723317644,6.229840031866826,6.249916289220682,6.237886157243721,6.251869446719979,6.240589602670875,6.246154622532526,6.244556896866358,6.247829067868783,6.248239412079841,6.244291237169741,6.243323629122422,6.24747403018448,6.246609813243539,6.249820855007986,6.252414938241274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058699,20/173,R20/173,D20/173,,YES,27/08/2023,2020-000173,6-Jun-20,Lion,Panthera,leo,,4C46283868,Adult,Female,S28,Crocodile bridge,Kruger National Park,South Africa,-25.32478,31.90987,2020-000173,Faeces,1,Carnivore
K058700-R,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.9220244328363085,4.912284450362376,4.912437223018795,4.889067481118285,4.892664541961714,4.918237245294296,4.932772467884316,4.935970848642054,4.907798070459505,4.92315898764645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058700,19/289,R19/289,D19/289,* RNA MIXED WITH 19/397 (BUFFALO [ADDED 19/397 RNA TO SAMPLE ON ACCIDENT]) DNA IS FINE,YES,28/08/2023,19/289,31-Jul-19,Lion,Panthera,leo,,4C44421632,Adult,Female,Jock Concession,Stolznek,Kruger National Park,South Africa,-25.201827,31.529203,19/289,Faeces,1,Carnivore
K058701-R,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.608038152402249,5.606194097972051,5.644998726347554,5.625071074223322,5.644224791460621,5.649858204249013,5.59820110423623,5.631184211895406,5.6540836391193,5.625187550915139,5.633836224747299,5.648222456778612,5.654202054205772,5.64540842730216,5.662330717814051,5.646041535673129,5.655236587776428,5.654162469318306,5.649781015175931,5.638163226007707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058701,22/871,R22/871,D22/871,,YES,28/08/2023,2022-000871,8-Nov-22,Lion,Panthera,leo,N74,4700017969,Adult,Female,Molani loop,Punda Maria,Kruger National Park,South Africa,-22.68683,31.03484,2022-000871,Faeces,1,Carnivore
K058702-R,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.245612561600397,5.29979102524356,5.267110792095388,5.291185913554481,5.27855585254781,5.19976184061034,5.271604117049675,5.263625454223915,5.277574755501952,5.231634653135105,5.259515829388376,5.270536768845359,5.259673492136927,5.267253030779008,5.265429779354718,5.2547095625719615,5.270783889671904,5.270569209677386,5.266558398114465,5.256180646781854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058702,22/846,R22/846,D22/846,,YES,28/08/2023,2022-000846,19-Oct-22,Lion,Panthera,leo,,4700011730,Prime adult,Male,Malelane gate,Malelane,Kruger National Park,South Africa,-25.2726,31.3112,2022-000846,Faeces,1,Carnivore
