sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-1112_iter-1,depth-1112_iter-2,depth-1112_iter-3,depth-1112_iter-4,depth-1112_iter-5,depth-1112_iter-6,depth-1112_iter-7,depth-1112_iter-8,depth-1112_iter-9,depth-1112_iter-10,depth-2223_iter-1,depth-2223_iter-2,depth-2223_iter-3,depth-2223_iter-4,depth-2223_iter-5,depth-2223_iter-6,depth-2223_iter-7,depth-2223_iter-8,depth-2223_iter-9,depth-2223_iter-10,depth-3334_iter-1,depth-3334_iter-2,depth-3334_iter-3,depth-3334_iter-4,depth-3334_iter-5,depth-3334_iter-6,depth-3334_iter-7,depth-3334_iter-8,depth-3334_iter-9,depth-3334_iter-10,depth-4445_iter-1,depth-4445_iter-2,depth-4445_iter-3,depth-4445_iter-4,depth-4445_iter-5,depth-4445_iter-6,depth-4445_iter-7,depth-4445_iter-8,depth-4445_iter-9,depth-4445_iter-10,depth-5556_iter-1,depth-5556_iter-2,depth-5556_iter-3,depth-5556_iter-4,depth-5556_iter-5,depth-5556_iter-6,depth-5556_iter-7,depth-5556_iter-8,depth-5556_iter-9,depth-5556_iter-10,depth-6667_iter-1,depth-6667_iter-2,depth-6667_iter-3,depth-6667_iter-4,depth-6667_iter-5,depth-6667_iter-6,depth-6667_iter-7,depth-6667_iter-8,depth-6667_iter-9,depth-6667_iter-10,depth-7778_iter-1,depth-7778_iter-2,depth-7778_iter-3,depth-7778_iter-4,depth-7778_iter-5,depth-7778_iter-6,depth-7778_iter-7,depth-7778_iter-8,depth-7778_iter-9,depth-7778_iter-10,depth-8889_iter-1,depth-8889_iter-2,depth-8889_iter-3,depth-8889_iter-4,depth-8889_iter-5,depth-8889_iter-6,depth-8889_iter-7,depth-8889_iter-8,depth-8889_iter-9,depth-8889_iter-10,depth-10000_iter-1,depth-10000_iter-2,depth-10000_iter-3,depth-10000_iter-4,depth-10000_iter-5,depth-10000_iter-6,depth-10000_iter-7,depth-10000_iter-8,depth-10000_iter-9,depth-10000_iter-10,LIMS,SAMPLE.NAME,RNA.NAME,DNA.NAME,NOTES,DNASE.TREATED,EXTRACTION.DATE,LabNumber,Date,Common.name_Species,Genus,Species,otherid,Microchip,Age.class,Sex,Locality,Section,Protected.Area,Country,GPS.S,GPS.E,FAECES_SampleNumber,FAECES_Prep.type,FAECES_Count,Diet_type
K058693-R,1.126504281046648,1.400888116564602,1.070880381465856,1.0642448031853,1.070880381465856,1.508069143164903,1.654966396512464,1.368239087983966,1.378539240563949,1.349798338953406,9.0465587367205,8.96822692350429,9.0465587267205,8.87709842636435,8.87709842636435,8.80561620045518,8.937466489979442,9.0465587367205,8.986190683105406,8.727284377238972,8.986190683105404,9.046558736720495,9.046558736720495,9.046558736720495,8.93746648997944,9.046558736720495,9.046558736720495,9.046558736720495,9.046558726720498,9.046558736720495,9.046558736720495,9.046558736720495,9.046558736720495,9.046558736720495,9.046558736720495,9.046558736720495,9.046558736720495,9.046558736720495,9.046558736720495,9.046558736720495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058693,18/140,R18/140,D18/140,,YES,30/08/2023,18/140,7-May-18,African wild dog,Lycaon,pictus,LP-M-01e,4C4A430679,Old adult,Male,Ranger,Kingfisherspruit,Kruger National Park,South Africa,-24.45724,31.45176,18/140,Faeces,1,Carnivore
K058694-R,1.391464686352878,1.344020407930826,1.121653147738661,1.391464686352878,1.16878467745808,1.400008434307491,1.102849967730858,1.16878467745808,1.16878467745808,1.16878467745808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058694,19/397,R19/397,D19/397,,YES,28/08/2023,19/397,12-Sep-19,African buffalo,Syncerus††,caffer†,66,,Sub adult,Female,Doispane,Skukuza,Kruger National Park,South Africa,-25.012644,31.347935,19/397,Faeces,1,Ruminant
K058695-R,1.243258676957339,1.196078515145928,1.200466476030331,1.234913557302207,1.130585020041212,1.073092076510367,1.234517967438986,1.130887426027246,1.236795195029117,1.083200623612969,8.144320163390278,7.976323741933939,7.779111768349564,8.144320163390278,8.144320163390278,7.976323741933939,8.144320163390278,8.144320163390278,8.144320163390278,7.854361336670104,8.144320163390278,8.144320163390278,8.144320163390278,8.144320163390278,8.144320163390278,8.144320163390278,8.144320163390278,8.144320163390278,8.144320163390278,8.144320163390278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058695,21/174,R21/174,D21/174,,YES,27/08/2023,2021-000174,16-Apr-21,Lion,Panthera,leo,C62,4C4413083D,Adult,Male,Timbarati picnic site,Kingfisherspruit,Kruger National Park,South Africa,-2	426	056,316	455,2021-000174,Faeces,1,Carnivore
K058696-R,1.095725702808628,1.199494043126431,1.195545695006035,1.109162480959005,1.109162480959005,1.218878952786326,1.218878952786326,1.218878952786326,1.083200623612969,1.195545695006035,5.22924850551926,5.22924850551926,5.22924850551926,5.22924850551926,5.22924850551926,5.22924850551926,5.22924850551926,5.22924850551926,5.22924850551926,5.22924850551926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058696,21/560,R21/560,D21/560,,YES,27/08/2023,2021-000560,22-Jul-21,Lion,Panthera,leo,S115,4700003670,Old adult,Male,Lubyelubye,Lower Sabie,Kruger National Park,South Africa,-2	509	945,3	188	152,2021-000560,Faeces,1,Carnivore
K058697-R,1.092606745060652,1.092549523548071,1.083200623612969,1.07691199783566,1.092606738896499,1.221577953947586,1.092580027499744,1.216089284226718,1.092606745060652,1.259587693592652,6.299760077631333,6.161786688741529,6.161786688741529,6.299760077631333,6.161786688741529,6.110187890490749,6.110187890490749,5.972214501600945,6.161786688741529,6.299760077631333,6.299760077631333,6.299760077631333,6.299760077631333,6.299760077631333,6.299760077631333,6.299760077631333,6.299760077631333,6.299760077631333,6.299760077631333,6.299760077631333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058697,20/47,R20/47,D20/47,,YES,27/08/2023,20/47,17-Apr-20,Lion,Panthera,leo,LVS202004-001,,Young adult,Female,State Vet Bomas,Skukuza,Kruger National Park,South Africa,-24.9948616,31.586339,20/47,Faeces,1,Carnivore
K058698-R,1.114841713447784,1.216089284226718,1.219620728922226,1.231483548402244,1.149737185443481,1.281742350541716,1.219620728922226,1.221569536719471,1.239553419285183,1.083945775282298,7.184796633384282,7.184796633384282,7.184796633384282,7.184796633384282,7.184796633384282,7.184796633384282,6.746450027403514,6.849700186831578,7.184796633384282,7.184796633384282,7.184796633384282,7.184796633384282,7.184796633384282,7.184796633384282,7.184796633384282,7.184796633384282,7.184796633384282,7.184796633384282,7.184796633384282,7.184796633384282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058698,20/542,R20/542,D20/542,,YES,27/08/2023,2020-000542,10-Nov-20,Lion,Panthera,leo,N70,4C44417A67,Old adult,Male,Shingwedzi river,Shingwedzi,Kruger National Park,South Africa,-2	410	501,3	138	529,2020-000542,Faeces,1,Carnivore
K058699-R,1.218647277848673,1.198519495996765,1.131846533270851,1.132889073219811,1.130887426027246,1.216089284226718,1.092606738896499,1.221621072908081,1.128779949253544,1.131846533270851,6.886628291855759,6.881714110781632,6.884034958831888,6.884026285902129,6.883770770801695,6.88662829685576,6.79832366044373,6.883770770801695,6.519415055693589,6.708523692738728,6.88662829685576,6.88662829685576,6.88662829685576,6.883770770801695,6.886628291855759,6.886628291855759,6.883770775801695,6.88662829685576,6.88662829685576,6.71107097778089,6.886628291855754,6.886628296855754,6.886628296855754,6.886628296855754,6.886628296855754,6.886628296855754,6.886628296855754,6.886628296855754,6.886628296855754,6.886628296855754,6.886628296855752,6.886628296855752,6.886628296855752,6.886628296855752,6.886628296855752,6.886628296855752,6.886628296855752,6.886628296855752,6.886628296855752,6.886628296855752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058699,20/173,R20/173,D20/173,,YES,27/08/2023,2020-000173,6-Jun-20,Lion,Panthera,leo,,4C46283868,Adult,Female,S28,Crocodile bridge,Kruger National Park,South Africa,-25.32478,31.90987,2020-000173,Faeces,1,Carnivore
K058700-R,1.11819888207821,1.32277349411618,1.239354218007065,1.107588985016835,1.32277349411618,1.106062491003962,1.443310976715217,1.456493825052052,1.245297386654382,1.219619372794283,5.453956323474076,5.453956323474076,5.453956323474076,5.453956323474076,5.33764087225626,5.453956323474076,5.453956323474076,5.453956323474076,5.453956323474076,5.453956323474076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058700,19/289,R19/289,D19/289,* RNA MIXED WITH 19/397 (BUFFALO [ADDED 19/397 RNA TO SAMPLE ON ACCIDENT]) DNA IS FINE,YES,28/08/2023,19/289,31-Jul-19,Lion,Panthera,leo,,4C44421632,Adult,Female,Jock Concession,Stolznek,Kruger National Park,South Africa,-25.201827,31.529203,19/289,Faeces,1,Carnivore
K058701-R,1.23595976106582,1.203412370925033,1.228407607512667,1.203412370925033,1.195545695006035,1.092606004426374,1.152462621619803,1.219620728922226,1.101055443508009,1.39261817011862,6.754966517409157,6.615343879063731,6.894299341330152,6.894299341330152,6.894299341330152,6.845917091436531,6.894299341330152,6.894299341330152,6.894299341330152,6.845917091436531,6.894299341330152,6.894299341330152,6.894299341330152,6.894299341330152,6.894299341330152,6.894299341330152,6.894299341330152,6.894299341330152,6.894299341330152,6.894299341330152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058701,22/871,R22/871,D22/871,,YES,28/08/2023,2022-000871,8-Nov-22,Lion,Panthera,leo,N74,4700017969,Adult,Female,Molani loop,Punda Maria,Kruger National Park,South Africa,-22.68683,31.03484,2022-000871,Faeces,1,Carnivore
K058702-R,1.257873957609876,1.218604158888178,1.362151811696708,1.408806302805821,1.250160378636792,1.287474900239537,1.236794403049824,1.254493128607168,1.289290540839935,1.289290540839935,5.768425826256582,5.765801734331482,5.207811158313174,5.768425826256582,5.768425821256582,5.650187526171514,5.768425821256582,5.768425826256582,5.579501573624778,5.765801734331482,5.768425826256582,5.768425826256582,5.768425826256582,5.768425826256582,5.768425826256582,5.768425826256582,5.768425826256582,5.768425826256582,5.768425826256582,5.768425826256582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058702,22/846,R22/846,D22/846,,YES,28/08/2023,2022-000846,19-Oct-22,Lion,Panthera,leo,,4700011730,Prime adult,Male,Malelane gate,Malelane,Kruger National Park,South Africa,-25.2726,31.3112,2022-000846,Faeces,1,Carnivore
K058703-R,1.395546151092276,1.281160472769951,1.239354218007065,1.231284635019218,1.201078420504928,1.242113236215626,1.395546151092276,1.281742350541716,1.221577953947586,1.217548260232434,8.833360256491927,8.679448081633113,8.833360251491927,8.744204421741655,8.772136842696694,8.520393332919143,8.599585326253203,8.686439020423917,8.691649492694763,8.460325791021846,8.850704241408733,8.850704241408733,8.766301775803827,8.850704241408733,8.850704241408733,8.850704241408733,8.850704241408733,8.850704241408733,8.850704241408733,8.850704241408733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058703,23/008,R23/008,D23/008,,YES,29/08/2023,2023-000008,30-Jan-23,Lion,Panthera,leo,,,Young adult,Male,Nkovakulu,Pafuri,Kruger National Park,South Africa,-22.53065,31.19135,2023-000008,Faeces,1,Carnivore
